Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:
000000270	140026.900	-00.027807	-0.447883	-3.104218e-08	0.0e+00	00:00:48.469
000000271	140027.000	000.007971	-0.447233	8.912005e-09	0.0e+00	00:00:48.641
000000272	140027.100	-00.050953	-0.447060	-5.698688e-08	0.0e+00	00:00:48.828
000000273	140027.200	-00.015314	-0.447839	-1.709748e-08	0.0e+00	00:00:49.016
000000274	140027.300	-00.035771	-0.444800	-4.020997e-08	0.0e+00	00:00:49.188
000000275	140027.400	-00.030999	-0.442841	-3.499993e-08	0.0e+00	00:00:49.375
000000276	140027.500	-00.037976	-0.442493	-4.291100e-08	0.0e+00	00:00:49.547
000000277	140027.600	-00.039521	-0.444958	-4.440930e-08	0.0e+00	00:00:49.734
000000278	140027.700	-00.047847	-0.446613	-5.356603e-08	0.0e+00	00:00:49.922
000000279	140027.800	-00.056995	-0.446194	-6.386751e-08	0.0e+00	00:00:50.094
000000280	140027.900	-00.061735	-0.446220	-6.917563e-08	0.0e+00	00:00:50.281
000000281	140028.000	-00.023580	-0.447210	-2.636373e-08	0.0e+00	00:00:50.453
000000282	140028.100	-00.048762	-0.445719	-5.469995e-08	0.0e+00	00:00:50.641
000000283	140028.200	-00.034189	-0.445379	-3.838198e-08	0.0e+00	00:00:50.813
000000284	140028.300	-00.013492	-0.446133	-1.512092e-08	0.0e+00	00:00:51.000
000000285	140028.400	-00.039672	-0.445328	-4.454264e-08	0.0e+00	00:00:51.188
000000286	140028.500	-00.013468	-0.445295	-1.512298e-08	0.0e+00	00:00:51.359
000000287	140028.600	000.003364	-0.445939	3.771293e-09	0.0e+00	00:00:51.547
000000288	140028.700	-00.025247	-0.447219	-2.822692e-08	0.0e+00	00:00:51.719
000000289	140028.800	-00.034222	-0.446046	-3.836188e-08	0.0e+00	00:00:51.906
000000290	140028.900	-00.046245	-0.445301	-5.192559e-08	0.0e+00	00:00:52.094
000000291	140029.000	-00.025906	-0.445064	-2.910372e-08	0.0e+00	00:00:52.266
000000292	140029.100	-00.033897	-0.446055	-3.799635e-08	0.0e+00	00:00:52.453
000000293	140029.200	-00.007256	-0.445612	-8.141591e-09	0.0e+00	00:00:52.625
000000294	140029.300	-00.001102	-0.445354	-1.237358e-09	0.0e+00	00:00:52.813
000000295	140029.400	-00.022257	-0.446163	-2.494275e-08	0.0e+00	00:00:52.984
000000296	140029.500	-00.033568	-0.444868	-3.772821e-08	0.0e+00	00:00:53.172
000000297	140029.600	-00.025779	-0.445043	-2.896213e-08	0.0e+00	00:00:53.344
000000298	140029.700	-00.017704	-0.445669	-1.986191e-08	0.0e+00	00:00:53.531
000000299	140029.800	-00.020014	-0.445534	-2.246078e-08	0.0e+00	00:00:53.719
000000300	140029.900	-00.015257	-0.444065	-1.717883e-08	0.0e+00	00:00:53.891
000000301	140030.000	000.014238	-0.442011	1.610542e-08	0.0e+00	00:00:54.078
000000302	140030.100	-00.014065	-0.445409	-1.578873e-08	0.0e+00	00:00:54.266
000000303	140030.200	000.018960	-0.446369	2.123844e-08	0.0e+00	00:00:54.438
000000304	140030.300	000.001471	-0.445380	1.651428e-09	0.0e+00	00:00:54.625
000000305	140030.400	000.001839	-0.445936	2.062325e-09	0.0e+00	00:00:54.797
000000306	140030.500	-00.020701	-0.447839	-2.311157e-08	0.0e+00	00:00:54.984
000000307	140030.600	-00.012054	-0.444846	-1.354881e-08	0.0e+00	00:00:55.172
000000308	140030.700	-00.008907	-0.444663	-1.001509e-08	0.0e+00	00:00:55.344
000000309	140030.800	-00.003131	-0.445278	-3.515613e-09	0.0e+00	00:00:55.531
000000310	140030.900	000.012190	-0.444108	1.372429e-08	0.0e+00	00:00:55.703
000000311	140031.000	000.007453	-0.443528	8.401549e-09	0.0e+00	00:00:55.891
000000312	140031.100	000.002785	-0.443198	3.142415e-09	0.0e+00	00:00:56.078
